cdr_record_id,id,main_commodity,commodity_observed_name,total_mineral_resource_tonnage,total_mineral_reserve_tonnage,total_mineral_resource_contained_metal,total_mineral_reserve_contained_metal,country,state_or_province,mineral_site_name,total_mineral_resource_tonnage_max,total_mineral_reserve_tonnage_max
0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2,2,nickel,nickel,1171.486,0.0,2.6060343,0.0,Canada,British Columbia,Turnagain Nickel Project,1171.486,0.0
0204fc707f5b1944308624520cd422c4f1cb478046f66487b06a27e8fbd8f0fd86,3,tungsten,tungsten,4.086,1.4649999999999999,0.0109749,0.0048972,Spain,Salamanca,Los Santos Mine Project,4.086,1.4649999999999999
020548e1aca4c1ca222149e11a79f15bd7594c02eb12163a1793a782fc2ec3619c,4,earth_metals,dysprosium,20.5,0.0,0.001301324,0.0,Canada,Quebec,Crater Lake Project,20.5,0.0
02163e7674b5c838a0efd7d2e80116e36ba01cbdb1d892921ec50e12dc041de809,10,copper,copper,2.827047,0.0,0.053713893,0.0,Canada,British Columbia,Chu Chua Property,2.827047,0.0
02195e2ef16f106876aff4c08b7a53a04edc8630e7ee0a23f16b61a8b066892e8e,15,tungsten,tungsten,2.393,0.375,0.007007099999999999,0.000825,Australia,Queensland,Wolfram Camp Mine Project,2.393,0.375
021b001961514a258c99e04f9d696edd68a551bb191037ac176e88ee3e47860dbe,16,earth_metals,niobium,430.03599999999994,0.0,1.5294518,0.0,Canada,British Columbia,Omineca Mining District,430.03599999999994,0.0
021ee3d3ec6928901d9427796372edaada0d332f15d03040570ca758e1b7f06445,17,copper,copper,0.0,276.0,0.0,0.94297521555,Canada,British Columbia,Red Chris Property,0.0,276.0
022b81881794b6910528a035b50a214fc960c52f89d7f84a35ce1b75b96f3759f0,19,earth_metals,niobium,224.5,31.660999999999998,1.24122,0.2501219,United States,Nebraska,Elk Creek Niobium Project,224.5,31.660999999999998
02385db31dc0fc04c2c0a598cabd5d8a0cc2c990002d04c5b1ec8e3e6795d8c8ef,22,earth_metals,cerium,34.5,0.0,0.33455,0.0,Canada,British Columbia,Wicheeda Rare Earth Element Project,34.5,0.0
023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548,36,nickel,nickel,46.918,0.0,0.2145551,0.0,Canada,Ontario,Graham Property,46.918,0.0
023c048bc7225a90e6bc4423733971cf21894f1818e68e068323618f3b33859963,45,zinc,zinc,5.8715,0.0,0.22093588,0.0,Turkey,Hakkâri,Hakkari Zinc Project,5.8715,0.0
02438bcc98fde0b10d03d369b1c152f2dc9608dfdea90737ab989ef665d6abffb3,46,lithium,lithium,32.677,47.3,0.5096188,0.70546,Canada,Quebec,Whabouchi Property,32.677,47.3
0248014bb5104094cd060e36532edd613e702960dc36ecbf2382ba756e128eb907,47,copper,copper,1170.0,480.0,4.294,2.16,Canada,British Columbia,Red Chris Project,1170.0,480.0
024c233b6e353581e5901350d1f0f2c2959b7b812d01a07aa0ac877531af5e32b5,49,copper,copper,31.939999999999998,0.0,0.21102700000000002,0.0,Canada,British Columbia,Jajay-Lorraine-Jan-Tam-Misty Property,31.939999999999998,0.0
024c70b3884c47f3e5cb6faa65116f1d595bed318091532c9abc19f5b578f11809,51,tungsten,tungsten,5.1265872,0.0,0.015670247039999998,0.0,Canada,British Columbia,Jersey-Emerald Property,5.1265872,0.0
